# KR
7409 FE00; Standardized_Variants; CID+26911
7469 FE00; Standardized_Variants; CID+27078
7489 FE00; Standardized_Variants; CID+27136
7498 FE00; Standardized_Variants; CID+27159
7559 FE00; Standardized_Variants; CID+27525
7565 FE00; Standardized_Variants; CID+27547
7570 FE00; Standardized_Variants; CID+27567
75E2 FE00; Standardized_Variants; CID+27767
7642 FE00; Standardized_Variants; CID+27965
7669 FE00; Standardized_Variants; CID+28042
76E7 FE00; Standardized_Variants; CID+28245
7701 FE00; Standardized_Variants; CID+28288
786B FE00; Standardized_Variants; CID+28858
788C FE00; Standardized_Variants; CID+28908
78CA FE00; Standardized_Variants; CID+29011
78FB FE00; Standardized_Variants; CID+29102
792A FE00; Standardized_Variants; CID+29177
797F FE00; Standardized_Variants; CID+29334
79AE FE00; Standardized_Variants; CID+29425
79CA FE00; Standardized_Variants; CID+29478
7A1C FE00; Standardized_Variants; CID+29615
7ACB FE00; Standardized_Variants; CID+29991
7B20 FE00; Standardized_Variants; CID+30155
7C3E FE00; Standardized_Variants; CID+30751
7C60 FE00; Standardized_Variants; CID+30831
7C92 FE00; Standardized_Variants; CID+30939
7CD6 FE00; Standardized_Variants; CID+58824
7CE7 FE00; Standardized_Variants; CID+31118
7D10 FE00; Standardized_Variants; CID+31201
7D22 FE00; Standardized_Variants; CID+31242
7D2F FE00; Standardized_Variants; CID+31264
7DA0 FE00; Standardized_Variants; CID+31489
7DBE FE00; Standardized_Variants; CID+31553
7DF4 FE00; Standardized_Variants; CID+58896
7E37 FE00; Standardized_Variants; CID+31806
7F79 FE00; Standardized_Variants; CID+32311
7F85 FE00; Standardized_Variants; CID+32334
7F9A FE00; Standardized_Variants; CID+32372
8001 FE00; Standardized_Variants; CID+32584
8046 FE00; Standardized_Variants; CID+32723
806F FE00; Standardized_Variants; CID+32800
807E FE00; Standardized_Variants; CID+32836
808B FE00; Standardized_Variants; CID+32859
81D8 FE00; Standardized_Variants; CID+33569
81E8 FE00; Standardized_Variants; CID+33605
826F FE00; Standardized_Variants; CID+33914
82E5 FE00; Standardized_Variants; CID+34159
8336 FE00; Standardized_Variants; CID+34336
83C9 FE00; Standardized_Variants; CID+34634
83F1 FE00; Standardized_Variants; CID+34724
843D FE00; Standardized_Variants; CID+34885
8449 FE00; Standardized_Variants; CID+34909
84EE FE00; Standardized_Variants; CID+58818
84FC FE00; Standardized_Variants; CID+35315
85CD FE00; Standardized_Variants; CID+35803
85FA FE00; Standardized_Variants; CID+35905
8606 FE00; Standardized_Variants; CID+35937
862D FE00; Standardized_Variants; CID+58812
863F FE00; Standardized_Variants; CID+36067
865C FE00; Standardized_Variants; CID+58815
87BA FE00; Standardized_Variants; CID+36703
881F FE00; Standardized_Variants; CID+36883
884C FE00; Standardized_Variants; CID+36964
88C2 FE00; Standardized_Variants; CID+37163
88CF FE00; Standardized_Variants; CID+37189
88E1 FE00; Standardized_Variants; CID+37228
88F8 FE00; Standardized_Variants; CID+37270
8964 FE00; Standardized_Variants; CID+37493
898B FE00; Standardized_Variants; CID+37573
8AAA FE00; Standardized_Variants; CID+38108
8AAA FE01; Standardized_Variants; CID+38108
8AD2 FE00; Standardized_Variants; CID+38190
8AD6 FE00; Standardized_Variants; CID+38199
8AFE FE00; Standardized_Variants; CID+38281
8B58 FE00; Standardized_Variants; CID+38478
8B80 FE00; Standardized_Variants; CID+38560
8C48 FE00; Standardized_Variants; CID+38815
8CC2 FE00; Standardized_Variants; CID+39024
8CC8 FE00; Standardized_Variants; CID+39036
8DEF FE00; Standardized_Variants; CID+39455
8ECA FE00; Standardized_Variants; CID+39846
8F26 FE00; Standardized_Variants; CID+39981
8F2A FE00; Standardized_Variants; CID+39989
8F3B FE00; Standardized_Variants; CID+40022
8F62 FE00; Standardized_Variants; CID+40095
8FB0 FE00; Standardized_Variants; CID+40197
9023 FE00; Standardized_Variants; CID+58819
